,p0q0
0,0.3
1,0.7
2,0.8
3,0.3
4,0.0
5,0.0
6,0.2
7,0.3
8,0.0
9,0.0
10,0.0
11,0.3
12,0.0
13,0.1
14,0.1
15,0.0
16,0.0
17,0.3
18,0.2
19,0.4
20,0.0
21,0.2
22,0.4
23,0.5
24,0.4
25,0.1
26,0.5
27,0.5
28,0.4
29,0.6
30,0.2
31,0.6
32,0.0
33,0.2
34,0.1
35,0.4
36,0.0
37,0.0
38,0.2
39,0.2
40,0.0
41,0.2
42,0.0
43,0.4
44,0.3
45,0.3
46,0.1
47,0.1
48,0.5
49,0.2
50,0.6
51,0.0
52,0.5
53,0.3
54,0.4
55,0.1
56,0.3
57,0.7
58,0.0
59,0.6
60,1.2
61,0.0
62,0.5
63,0.7
64,0.4
65,0.2
66,0.6
67,1.4
68,0.0
69,1.2
70,0.0
71,0.0
72,0.5
73,0.3
74,0.9
75,0.2
76,1.1
77,0.4
78,0.7
79,0.4
80,0.5
81,0.2
82,0.9
83,0.2
84,0.7
85,0.5
86,0.7
87,0.2
88,0.3
89,0.2
90,0.9
91,0.3
92,0.6
93,0.2
94,0.8
95,0.2
96,0.5
97,0.3
98,0.7
99,0.3
100,0.5
101,0.5
102,0.5
103,0.6
104,0.4
105,0.5
106,0.6
107,0.4
108,0.0
109,0.0
110,0.2
111,0.4
112,0.0
113,0.1
114,0.0
115,0.1
116,0.0
117,0.0
118,0.2
119,0.3
120,0.0
121,0.1
122,0.3
123,0.3
124,0.6
125,1.0
126,0.9
127,0.5
128,0.6
129,0.3
130,0.3
131,0.2
132,0.3
133,1.0
134,0.8
135,0.3
136,0.4
137,0.2
138,0.6
139,0.4
140,0.5
141,0.2
142,0.9
143,0.5
144,0.2
145,0.8
146,0.3
147,0.4
148,0.8
149,0.1
150,0.3
151,0.5
152,0.3
153,0.3
154,0.2
155,0.4
156,0.4
157,0.2
158,0.2
159,0.2
160,0.1
161,0.2
162,0.9
163,0.6
164,0.0
165,0.3
166,0.6
167,0.3
168,0.2
169,0.8
170,0.3
171,0.2
172,0.2
173,0.0
174,0.1
175,0.7
176,0.8
177,0.2
178,1.6
179,1.0
180,0.2
181,0.6
182,1.2
183,0.0
184,0.4
185,0.9
186,0.5
187,0.1
188,0.9
189,0.2
190,0.2
191,0.1
192,0.3
193,0.3
194,0.5
195,0.0
196,0.6
197,0.2
198,0.4
199,0.5
200,0.9
201,0.1
202,0.2
203,0.0
204,0.2
205,0.5
206,0.2
207,0.0
208,0.5
209,0.2
210,0.6
211,0.6
212,0.3
213,0.5
214,0.5
215,0.7
216,0.6
217,0.6
218,0.6
219,0.5
220,0.6
221,0.9
222,0.0
223,0.4
224,1.6
225,0.7
226,0.5
227,0.7
228,0.6
229,0.5
230,0.6
231,0.5
232,1.8
233,2.9
234,0.6
235,0.6
236,1.7
237,1.1
238,0.2
